voice_name,voice_type,language
武则天,zh_female_wuzetian_mars_bigtts,中文
顾姐,zh_female_gujie_mars_bigtts,中文
樱桃丸子,zh_female_yingtaowanzi_mars_bigtts,中文
广告解说,zh_male_chunhui_mars_bigtts,中文
少儿故事,zh_female_shaoergushi_mars_bigtts,中文
四郎,zh_male_silang_mars_bigtts,中文
磁性解说男声/Morgan,zh_male_jieshuonansheng_mars_bigtts,中文、美式英语
鸡汤妹妹/Hope,zh_female_jitangmeimei_mars_bigtts,中文、美式英语
贴心女声/Candy,zh_female_tiexinnvsheng_mars_bigtts,中文、美式英语
俏皮女声,zh_female_qiaopinvsheng_mars_bigtts,中文
萌丫头/Cutey,zh_female_mengyatou_mars_bigtts,中文、美式英语
懒音绵宝,zh_male_lanxiaoyang_mars_bigtts,中文
亮嗓萌仔,zh_male_dongmanhaimian_mars_bigtts,中文
悬疑解说,zh_male_changtianyi_mars_bigtts,中文
儒雅青年,zh_male_ruyaqingnian_mars_bigtts,中文
霸气青叔,zh_male_baqiqingshu_mars_bigtts,中文
擎苍,zh_male_qingcang_mars_bigtts,中文
活力小哥,zh_male_yangguangqingnian_mars_bigtts,中文
古风少御,zh_female_gufengshaoyu_mars_bigtts,中文
温柔淑女,zh_female_wenroushunv_mars_bigtts,中文
反卷青年,zh_male_fanjuanqingnian_mars_bigtts,中文
双节棍小哥,zh_male_zhoujielun_emo_v2_mars_bigtts,中文-台湾口音 
